1980-2019 Billion-Dollar Disasters Cost (in $Millions) By State (CPI-Adjusted)
state,"drought","flooding","freeze","severe storm","tropical cyclone","wildfire","winter storm"
AK,0.0,0.0,0.0,0.0,0.0,1874.0,0.0
AL,5477.6,116.0,124.1,9649.3,18086.4,611.0,1833.6
AR,5367.9,3876.0,243.0,4221.8,320.6,0.0,485.7
AZ,763.2,491.4,0.0,4522.0,0.0,800.3,0.0
CA,9774.0,10892.1,12621.0,2889.9,0.0,63263.4,0.0
CO,3673.2,1726.6,85.5,18352.5,0.0,1981.7,0.0
CT,5.5,268.0,34.2,593.2,3318.9,0.0,1962.7
DE,698.3,19.5,10.3,113.7,676.1,0.0,700.3
FL,1236.6,1414.4,11334.1,2685.2,204093.2,256.5,3282.7
GA,6515.1,72.1,1071.3,6395.7,13191.7,247.0,1612.7
HI,0.0,0.0,0.0,0.0,5766.0,0.0,0.0
IA,11493.5,19915.4,63.2,5480.7,0.0,0.0,111.4
ID,2655.8,480.0,10.3,0.0,0.0,1967.2,0.0
IL,13928.7,8078.0,351.6,11307.8,878.0,0.0,1007.1
IN,7042.6,4512.7,190.9,7721.5,895.1,0.0,488.8
KS,15033.8,2955.1,143.2,8599.9,0.0,0.0,67.2
KY,6333.6,222.1,208.2,6911.1,1038.5,0.0,1049.9
LA,4241.8,17028.5,171.0,7544.4,150973.7,0.0,1167.6
MA,16.4,273.7,41.0,380.6,2678.8,0.0,3380.6
MD,2739.9,179.9,27.4,2003.3,4918.6,0.0,1987.4
ME,5.5,0.0,0.0,172.0,119.0,0.0,1182.1
MI,2686.9,1776.2,41.0,2260.8,0.0,0.0,362.0
MN,6719.4,4642.3,44.4,9476.4,0.0,84.1,139.8
MO,9208.4,12540.3,534.4,15902.8,428.6,0.0,268.3
MS,6916.3,3111.9,105.5,3464.8,50798.9,35.3,3355.1
MT,9334.2,294.7,10.3,960.7,0.0,2304.6,0.0
NC,8541.6,55.8,254.8,4793.0,54748.9,75.8,1638.6
ND,16609.7,7964.7,10.3,53.4,0.0,11.0,31.7
NE,10916.1,4241.9,70.8,7684.5,0.0,48.0,0.0
NH,5.5,0.0,0.0,135.6,388.3,0.0,1145.5
NJ,384.6,968.3,41.0,2591.3,34553.2,0.0,4096.6
NM,2152.1,0.0,0.0,658.4,259.9,1101.6,0.0
NV,268.7,891.0,0.0,51.2,0.0,857.1,0.0
NY,514.5,1694.5,58.1,2456.8,46942.3,0.0,5197.1
OH,5206.0,1027.7,340.5,8923.0,2830.6,0.0,1050.5
OK,9010.3,2118.9,512.9,16411.0,0.0,289.9,288.2
OR,2930.1,1355.7,112.8,87.4,0.0,1848.1,0.0
PA,2013.7,795.5,85.5,4920.0,6681.3,0.0,2379.9
PR,0.0,0.0,0.0,0.0,100602.1,0.0,0.0
RI,5.5,145.8,6.8,83.8,1028.3,0.0,804.1
SC,3527.9,2091.7,531.6,2708.6,18690.8,0.0,1083.7
SD,9446.2,4496.6,20.5,582.9,0.0,89.1,0.0
TN,5859.7,3253.1,159.6,11321.4,940.9,1526.0,1301.3
TX,25060.3,12035.5,460.3,45701.1,192413.4,2641.9,2202.6
US,249660.4,146425.7,30413.5,248145.4,945564.2,84994.5,49378.8
UT,350.7,1365.0,10.3,23.5,0.0,961.1,0.0
VA,3818.6,159.8,74.6,1980.9,8366.1,0.0,2081.5
VI,0.0,0.0,0.0,0.0,17274.6,0.0,0.0
VT,10.9,0.0,0.0,130.4,987.6,0.0,885.3
WA,2454.6,902.0,92.3,56.1,0.0,1550.3,0.0
WI,4678.9,5062.4,41.0,3672.8,0.0,0.0,111.4
WV,1894.2,912.9,57.1,634.8,673.8,0.0,635.8
WY,2131.8,0.0,6.8,873.4,0.0,569.5,0.0
